l_activityId,activityId,ID1,ID2,createdTime,logDate,logDateTime,logEndTime,lightSleep,deepSleep,almostAwake,activityType,description,status,s1,s2,s3,s4,s5,s6,s7,s8,descriptionCount,remSleep
1828,0,0,15,2025-05-29,2025-02-02,2025-02-02 19:56:00,2025-02-02 20:41:00,30,0,0,2,204~30~30~30~30~30~30~30~30,new,6,4,4,0,0,0,0,0,9,0
1829,0,1,30,2025-05-29,2025-02-01,2025-02-01 00:43:00,2025-02-01 02:38:00,45,40,0,2,24~10~10~10~26~120~30~30~30~30~88~90~86~82~30~120~30~26~22~22~22~10~22,new,1,4,4,6,6,4,1,1,23,0
1830,0,2,45,2025-05-29,2025-01-31,2025-01-31 22:44:00,2025-02-01 00:44:00,30,45,0,2,196~30~28~22~10~10~10~24~30~80~30~30~30~30~82~88~88~82~82~120~30~30~28~22,new,6,1,1,4,4,6,6,1,24,0
1831,0,3,0,2025-05-29,2025-01-31,2025-01-31 21:54:00,2025-01-31 22:39:00,30,15,0,2,30~120~30~30~30~30~30~30~28,new,4,4,1,0,0,0,0,0,9,0
1832,0,4,30,2025-05-29,2025-01-31,2025-01-31 19:54:00,2025-01-31 21:54:00,60,30,0,2,30~30~30~30~30~120~30~30~30~30~30~28~22~10~10~120~10~82~90~84~82~30~30~30,new,4,4,4,1,1,6,6,4,24,0
1833,0,5,45,2025-05-29,2025-01-31,2025-01-31 17:55:00,2025-01-31 19:55:00,45,30,0,2,194~30~30~30~30~30~30~30~30~80~30~30~30~10~10~22~10~24~24~120~80~88~82~82,new,6,4,4,4,1,1,6,6,24,0
1834,0,6,15,2025-05-29,2025-01-03,2025-01-03 20:43:00,2025-01-03 22:28:00,45,30,15,2,236~30~30~30~30~30~30~30~30~80~30~22~24~10~22~22~24~30~30~120~80,new,7,4,4,4,1,1,6,0,21,0
1856,0,7,0,2025-05-29,2025-01-03,2025-01-03 10:16:00,2025-01-03 10:21:00,5,0,0,2,30,new,4,0,0,0,0,0,0,0,1,0
1857,0,8,15,2025-05-29,2025-01-03,2025-01-03 08:17:00,2025-01-03 10:17:00,75,15,15,2,200~30~30~30~30~30~30~30~30~80~30~28~10~10~22~10~22~88~90~120~82~30~30~30,new,6,4,4,4,1,4,7,4,24,0
1858,0,9,15,2025-05-29,2025-01-03,2025-01-03 07:00:00,2025-01-03 08:10:00,45,10,0,2,202~30~30~30~30~30~30~30~30~80~30~26~26~22,new,6,4,4,4,1,0,0,0,14,0
1859,0,10,15,2025-05-29,2025-01-02,2025-01-02 09:58:00,2025-01-02 11:03:00,50,0,0,2,226~30~30~30~30~30~30~30~30~80~30~30~30,new,6,4,4,4,4,0,0,0,13,0
1860,0,11,15,2025-05-29,2025-01-02,2025-01-02 08:21:00,2025-01-02 09:51:00,30,45,0,2,30~30~30~30~30~120~30~28~30~24~22~10~10~10~24~120~90~30,new,4,4,1,1,1,6,0,0,18,0
1861,0,12,15,2025-05-29,2025-01-02,2025-01-02 06:22:00,2025-01-02 08:22:00,45,45,15,2,188~30~30~30~10~10~10~24~30~80~30~30~26~10~26~30~30~84~88~120~86~82~30~30,new,6,1,1,4,1,4,7,4,24,0
1862,0,13,0,2025-05-29,2025-01-02,2025-01-02 05:03:00,2025-01-02 05:03:00,0,0,0,2,,new,0,0,0,0,0,0,0,0,0,0
1884,0,14,30,2025-05-29,2025-01-02,2025-01-02 03:03:00,2025-01-02 05:03:00,45,45,0,2,26~22~10~10~22~120~30~30~30~30~88~86~86~84~30~120~30~30~28~22~10~24~24~22,new,1,4,4,6,6,4,1,1,24,0
1885,0,15,15,2025-05-29,2025-01-02,2025-01-02 01:04:00,2025-01-02 03:04:00,60,30,15,2,188~30~30~30~30~24~10~10~10~80~24~30~30~30~30~30~30~30~88~120~84~84~30~30,new,6,1,1,4,4,4,7,4,24,0
1886,0,16,10,2025-05-29,2025-01-01,2025-01-01 23:34:00,2025-01-02 00:59:00,30,30,15,2,228~30~30~30~30~24~10~10~10~80~30~30~30~30~88~88~86,new,7,1,1,4,4,6,0,0,17,0
1887,0,17,15,2025-05-29,2025-01-01,2025-01-01 12:39:00,2025-01-01 13:59:00,65,0,0,2,10~120~10~24~28~88~82~84~82~30~30~120~30~30~30~30,new,4,4,6,4,4,4,0,0,16,0
1888,0,18,15,2025-05-29,2025-01-01,2025-01-01 10:39:00,2025-01-01 12:39:00,90,15,0,2,30~30~30~30~26~120~10~24~90~90~82~82~30~30~30~120~30~30~30~30~30~30~30~24,new,4,4,4,6,4,4,4,1,24,0
1889,0,19,30,2025-05-29,2025-01-01,2025-01-01 08:40:00,2025-01-01 10:40:00,90,0,0,2,194~30~30~30~30~30~30~30~30~80~30~24~26~90~86~84~82~30~30~120~30~30~30~30,new,6,4,4,4,6,4,4,4,24,0
1890,0,20,15,2025-05-29,2024-12-31,2024-12-31 11:30:00,2024-12-31 12:40:00,40,15,0,2,30~120~30~30~30~30~30~30~26~30~90~120~30~30,new,4,4,1,6,4,0,0,0,14,0
1912,0,21,0,2025-05-29,2024-12-31,2024-12-31 09:30:00,2024-12-31 11:30:00,75,30,15,2,30~30~30~30~30~120~30~30~30~30~26~22~22~10~10~120~84~90~84~82~30~30~30~30,new,4,4,4,1,1,7,4,4,24,0
1913,0,22,45,2025-05-29,2024-12-31,2024-12-31 07:31:00,2024-12-31 09:31:00,45,30,0,2,194~30~30~30~30~30~30~30~30~80~30~30~10~10~10~10~10~24~30~120~80~86~82~30,new,6,4,4,4,1,1,6,6,24,0
1914,0,23,15,2025-05-29,2024-12-30,2024-12-30 10:37:00,2024-12-30 11:37:00,45,0,0,2,210~30~30~30~30~30~30~30~30~80~30~30,new,6,4,4,4,0,0,0,0,12,0
1915,0,24,15,2025-05-29,2024-12-30,2024-12-30 09:22:00,2024-12-30 10:22:00,30,15,0,2,30~120~30~30~30~24~82~90~84~28~28~120,new,4,1,6,4,0,0,0,0,12,0
1916,0,25,15,2025-05-29,2024-12-30,2024-12-30 07:22:00,2024-12-30 09:22:00,75,30,0,2,30~30~30~30~30~120~26~28~24~10~24~10~10~10~90~120~82~30~30~30~30~30~30~30,new,4,4,1,1,4,6,4,4,24,0
1917,0,26,30,2025-05-29,2024-12-30,2024-12-30 05:23:00,2024-12-30 07:23:00,60,30,0,2,176~30~24~10~10~10~10~30~30~80~30~30~30~30~82~90~90~86~30~120~30~30~30~30,new,6,1,1,4,4,6,4,4,24,0
1918,0,27,0,2025-05-29,2024-12-30,2024-12-30 00:59:00,2024-12-30 01:34:00,35,0,0,2,132~30~30~30~30~30~30,new,4,4,4,0,0,0,0,0,7,0
