l_activityId,activityId,ID1,ID2,createdTime,logDate,logDateTime,logEndTime,steps,distance,calories,activityType,description,status,descriptionCount
3,0,0,0,1734633000,1734633000,1734681780,1734682380,156,11,623,1,57~35~14~0~0~0~0~40~0~10,new,10
4,0,1,0,1734633000,1734633000,1734681120,1734681720,524,30,1883,1,20~14~99~84~10~13~103~88~80~13,new,10
5,0,2,0,1734633000,1734633000,1734679740,1734680340,17,1,65,1,17~0~0~0~0~0~0~0~0~0,new,10
6,0,3,0,1734633000,1734633000,1734678840,1734679440,27,1,122,1,11~16~0~0~0~0~0~0~0~0,new,10
7,0,4,0,1734633000,1734633000,1734677940,1734678540,299,19,1121,1,108~44~16~32~14~0~50~0~0~35,new,10
8,0,5,0,1734633000,1734633000,1734677160,1734677760,232,13,805,1,53~30~29~33~0~56~21~0~10~0,new,10
9,0,6,0,1734633000,1734633000,1734676500,1734677100,31,2,128,1,17~0~0~0~0~0~0~0~0~14,new,10
10,0,7,0,1734633000,1734633000,1734675900,1734676500,250,14,850,1,84~0~120~46~0~0~0~0~0~0,new,10
11,0,8,0,1734633000,1734633000,1734675240,1734675840,285,15,1040,1,41~37~0~57~70~18~21~23~18~0,new,10
12,0,9,0,1734633000,1734633000,1734674640,1734675240,179,10,568,1,18~17~14~0~12~14~15~26~18~45,new,10
13,0,10,0,1734633000,1734633000,1734673980,1734674580,275,15,941,1,27~25~0~53~112~41~0~0~17~0,new,10
14,0,11,0,1734633000,1734633000,1734673260,1734673860,370,25,1432,1,46~35~97~102~18~27~13~20~12~0,new,10
15,0,12,0,1734633000,1734633000,1734672660,1734673260,213,15,738,1,34~64~27~0~34~0~21~14~0~19,new,10
16,0,13,0,1734633000,1734633000,1734671940,1734672540,138,8,520,1,10~52~40~0~14~0~0~12~0~10,new,10
17,0,14,0,1734633000,1734633000,1734671220,1734671820,513,31,1962,1,70~15~50~0~71~97~88~54~37~31,new,10
18,0,15,0,1734633000,1734633000,1734669420,1734670020,31,2,100,1,31~0~0~0~0~0~0~0~0~0,new,10
19,0,16,0,1734633000,1734633000,1734636060,1734636660,10,0,9,1,10~0~0~0~0~0~0~0~0~0,new,10
20,0,17,0,1734633000,1734633000,1734635040,1734635640,25,2,113,1,12~0~0~0~0~0~0~0~13~0,new,10
21,0,18,0,1734633000,1734633000,1734633780,1734634380,62,4,232,1,17~0~17~28~0~0~0~0~0~0,new,10
22,0,19,0,1734633000,1734546600,1734632940,1734633540,69,3,243,1,28~11~10~10~10~0~0~0~0~0,new,10
23,0,20,0,1734633000,1734546600,1734632820,1734633420,109,6,346,1,38~41~30~0~0~0~0~0~0~0,new,10
24,0,21,0,1734633000,1734546600,1734632220,1734632820,131,8,510,1,63~11~0~46~11~0~0~0~0~0,new,10
25,0,22,0,1734633000,1734546600,1734631500,1734632100,97,6,319,1,32~0~0~0~0~0~33~32~0~0,new,10
26,0,23,0,1734633000,1734546600,1734630900,1734631500,367,22,1377,1,59~19~22~0~19~0~28~98~99~23,new,10
27,0,24,0,1734633000,1734546600,1734630300,1734630900,137,9,432,1,19~0~16~35~0~13~20~0~10~24,new,10
28,0,25,0,1734633000,1734546600,1734629460,1734630060,42,2,150,1,30~0~12~0~0~0~0~0~0~0,new,10
29,0,26,0,1734633000,1734546600,1734628380,1734628980,100,5,349,1,41~6~16~25~0~0~0~12~0~0,new,10
30,0,27,0,1734633000,1734546600,1734626460,1734627060,115,6,406,1,39~0~48~12~0~0~0~16~0~0,new,10
31,0,28,0,1734633000,1734546600,1734625740,1734626340,449,27,1628,1,99~73~53~43~54~26~12~11~16~62,new,10
32,0,29,0,1734633000,1734546600,1734624900,1734625500,241,16,922,1,12~10~74~14~0~0~0~68~63~0,new,10
33,0,30,0,1734633000,1734546600,1734624300,1734624900,272,17,1067,1,37~59~5~18~0~0~0~81~60~12,new,10
34,0,31,0,1734633000,1734546600,1734623640,1734624240,231,15,799,1,35~34~35~50~23~20~34~0~0~0,new,10
35,0,32,0,1734633000,1734546600,1734622560,1734623160,20,0,73,1,20~0~0~0~0~0~0~0~0~0,new,10
36,0,33,0,1734633000,1734546600,1734621360,1734621960,555,35,2098,1,96~92~94~88~90~67~13~15~0~0,new,10
37,0,34,0,1734633000,1734546600,1734620760,1734621360,129,8,452,1,13~0~0~0~0~0~0~12~28~76,new,10
38,0,35,0,1734633000,1734546600,1734618000,1734618600,20,1,78,1,20~0~0~0~0~0~0~0~0~0,new,10
39,0,36,0,1734633000,1734546600,1734614580,1734615180,11,0,18,1,11~0~0~0~0~0~0~0~0~0,new,10
40,0,37,0,1734633000,1734546600,1734612960,1734613560,12,0,54,1,12~0~0~0~0~0~0~0~0~0,new,10
41,0,38,0,1734633000,1734546600,1734610260,1734610860,13,0,56,1,13~0~0~0~0~0~0~0~0~0,new,10
42,0,39,0,1734633000,1734546600,1734609660,1734610260,71,4,283,1,10~47~0~0~14~0~0~0~0~0,new,10
43,0,40,0,1734633000,1734546600,1734609060,1734609660,545,36,2075,1,108~107~111~104~0~56~37~0~10~12,new,10
44,0,41,0,1734633000,1734546600,1734608460,1734609060,342,22,1269,1,42~0~0~0~0~0~33~58~102~107,new,10
45,0,42,0,1734633000,1734546600,1734607740,1734608340,84,4,271,1,10~0~0~0~0~0~18~24~32~0,new,10
46,0,43,0,1734633000,1734546600,1734606720,1734607320,79,4,312,1,17~18~10~10~0~0~0~0~24~0,new,10
47,0,44,0,1734633000,1734546600,1734606120,1734606720,209,12,761,1,95~86~27~1~0~0~0~0~0~0,new,10
48,0,45,0,1734633000,1734546600,1734605460,1734606060,215,12,786,1,10~0~13~0~0~24~0~34~91~43,new,10
49,0,46,0,1734633000,1734546600,1734604320,1734604920,41,2,167,1,11~0~10~0~0~0~0~10~10~0,new,10
50,0,47,0,1734633000,1734546600,1734602880,1734603480,41,2,160,1,10~31~0~0~0~0~0~0~0~0,new,10
51,0,48,0,1734633000,1734546600,1734602040,1734602640,36,2,149,1,16~0~0~0~0~0~20~0~0~0,new,10
52,0,49,0,1734633000,1734546600,1734601140,1734601740,67,3,262,1,19~0~0~0~0~21~0~0~12~15,new,10
53,0,50,0,1734633000,1734546600,1734600540,1734601140,172,10,636,1,19~11~45~61~0~0~0~0~24~12,new,10
54,0,51,0,1734633000,1734546600,1734599700,1734600300,51,3,206,1,17~0~0~16~0~0~0~18~0~0,new,10
55,0,52,0,1734633000,1734546600,1734598920,1734599520,524,32,1947,1,100~86~78~69~109~48~34~0~0~0,new,10
56,0,53,0,1734633000,1734546600,1734598320,1734598920,299,19,1160,1,37~80~38~12~66~25~9~0~0~32,new,10
57,0,54,0,1734633000,1734546600,1734597720,1734598320,343,23,1303,1,30~15~87~66~54~0~16~12~0~63,new,10
